region,distrito,comuna
DEL MAULE,DISTRITO 17,PENCAHUE
DEL BIOBIO,DISTRITO 20,PENCO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PERALILLO
DE LA ARAUCANIA,DISTRITO 22,PERQUENCO
DE VALPARAISO,DISTRITO 6,PETORCA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PEUMO
DE TARAPACA,DISTRITO 2,PICA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PICHIDEGUA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PICHILEMU
DE ÑUBLE,DISTRITO 19,PINTO
METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
DE LA ARAUCANIA,DISTRITO 23,PITRUFQUEN
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PLACILLA
DE ÑUBLE,DISTRITO 19,PORTEZUELO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,PORVENIR
DE TARAPACA,DISTRITO 2,POZO ALMONTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,PRIMAVERA
METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
DE VALPARAISO,DISTRITO 6,PUCHUNCAVI
DE LA ARAUCANIA,DISTRITO 23,PUCON
METROPOLITANA DE SANTIAGO,DISTRITO 8,PUDAHUEL
METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
DE LOS LAGOS,DISTRITO 26,PUERTO MONTT
DE LOS LAGOS,DISTRITO 25,PUERTO OCTAY
DE LOS LAGOS,DISTRITO 25,PUERTO VARAS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PUMANQUE
DE COQUIMBO,DISTRITO 5,PUNITAQUI
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,PUNTA ARENAS
DE LOS LAGOS,DISTRITO 26,PUQUELDON
DE LA ARAUCANIA,DISTRITO 22,PUREN
DE LOS LAGOS,DISTRITO 25,PURRANQUE
DE VALPARAISO,DISTRITO 6,PUTAENDO
DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
DE LOS LAGOS,DISTRITO 25,PUYEHUE
DE LOS LAGOS,DISTRITO 26,QUEILEN
DE LOS LAGOS,DISTRITO 26,QUELLON
DE LOS LAGOS,DISTRITO 26,QUEMCHI
DEL BIOBIO,DISTRITO 21,QUILACO
METROPOLITANA DE SANTIAGO,DISTRITO 8,QUILICURA
DEL BIOBIO,DISTRITO 21,QUILLECO
DE ÑUBLE,DISTRITO 19,QUILLON
DE VALPARAISO,DISTRITO 6,QUILLOTA
DE VALPARAISO,DISTRITO 6,QUILPUE
DE LOS LAGOS,DISTRITO 26,QUINCHAO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,QUINTA DE TILCOCO
METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
DE VALPARAISO,DISTRITO 6,QUINTERO
DE ÑUBLE,DISTRITO 19,QUIRIHUE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,RANCAGUA
DE ÑUBLE,DISTRITO 19,RANQUIL
DEL MAULE,DISTRITO 17,RAUCO
METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
DE LA ARAUCANIA,DISTRITO 22,RENAICO
METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,RENGO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,REQUINOA
DEL MAULE,DISTRITO 18,RETIRO
